id,name_series,airing_date
99966,All of Us Are Dead                                                                                                                                    ,2022-01-28
112888,True Beauty                                                                                                                                           ,2020-12-09
93405,Squid Game                                                                                                                                            ,2021-09-17
136699,Glitch                                                                                                                                                ,2022-10-07
112836,Money Heist: Korea - Joint Economic Area                                                                                                              ,2022-06-24
67915,Goblin                                                                                                                                                ,2016-12-02
197067,Extraordinary Attorney Woo                                                                                                                            ,2022-06-29
129473,Young Lady and Gentleman                                                                                                                              ,2021-09-25
154825,Business Proposal                                                                                                                                     ,2022-02-28
133091,My Sweet Dear                                                                                                                                         ,2021-10-21
106651,Hellbound                                                                                                                                             ,2021-11-19
208336,Revenge of Others                                                                                                                                     ,2022-11-09
93490,My Country: The New Age                                                                                                                               ,2019-10-04
201146,Love in Contract                                                                                                                                      ,2022-09-21
155226,Big Mouth                                                                                                                                             ,2022-07-29
135157,Alchemy of Souls                                                                                                                                      ,2022-06-18
110356,My Name                                                                                                                                               ,2021-10-15
16420,Boys Over Flowers                                                                                                                                     ,2009-01-05
96777,The Silent Sea                                                                                                                                        ,2021-12-24
114395,A Love So Beautiful                                                                                                                                   ,2020-12-28
96648,Sweet Home                                                                                                                                            ,2020-12-18
89641,Love Alarm                                                                                                                                            ,2019-08-22
123349,The Sound of Magic                                                                                                                                    ,2022-05-06
94796,Crash Landing on You                                                                                                                                  ,2019-12-14
134675,Little Women                                                                                                                                          ,2022-09-03
45579,The Moon Embracing the Sun                                                                                                                            ,2012-01-04
65143,Descendants of the Sun                                                                                                                                ,2016-02-24
155229,Cheer Up                                                                                                                                              ,2022-10-03
79434,What's Wrong with Secretary Kim                                                                                                                       ,2018-06-06
96462,It's Okay to Not Be Okay                                                                                                                              ,2020-06-20
68349,Weightlifting Fairy Kim Bok-Joo                                                                                                                       ,2016-11-16
133678,Once Upon a Small Town                                                                                                                                ,2022-09-05
156406,Under the Queen's Umbrella                                                                                                                            ,2022-10-15
117376,Vincenzo                                                                                                                                              ,2021-02-20
157383,The Golden Spoon                                                                                                                                      ,2022-09-23
154891,Woori The Virgin                                                                                                                                      ,2022-05-09
129888,Twenty Five Twenty One                                                                                                                                ,2022-02-12
158811,Bargain                                                                                                                                               ,2022-10-28
201852,One Dollar Lawyer                                                                                                                                     ,2022-09-23
68814,Strong Woman Do Bong Soon                                                                                                                             ,2017-02-24
138947,Artificial City                                                                                                                                       ,2021-12-08
70593,Kingdom                                                                                                                                               ,2019-01-25
203697,Behind Every Star                                                                                                                                     ,2022-11-07
88519,Home for Summer                                                                                                                                       ,2019-04-29
194736,Curtain Call                                                                                                                                          ,2022-10-31
87527,My First First Love                                                                                                                                   ,2019-04-18
48462,The Heirs                                                                                                                                             ,2013-10-09
74682,I Am Not a Robot                                                                                                                                      ,2017-12-06
114118,My Roommate Is a Gumiho                                                                                                                               ,2021-05-26
93846,The King: Eternal Monarch                                                                                                                             ,2020-04-17
157208,Semantic Error                                                                                                                                        ,2022-02-16
157161,Shadow Detective                                                                                                                                      ,2022-10-26
126035,"Nevertheless,                                                                                                                                         ",2021-06-19
18495,Nonstop                                                                                                                                               ,2000-05-15
4734,Jumong                                                                                                                                                ,2006-05-15
99489,The Penthouse                                                                                                                                         ,2020-10-26
60957,My Love From Another Star                                                                                                                             ,2013-12-18
47007,To the Beautiful You                                                                                                                                  ,2012-08-15
5178,Stairway to Heaven                                                                                                                                    ,2003-12-03
61148,Empress Ki                                                                                                                                            ,2013-10-28
129478,The King's Affection                                                                                                                                  ,2021-10-11
57647,Good Doctor                                                                                                                                           ,2013-08-05
70649,While You Were Sleeping                                                                                                                               ,2017-09-27
112833,Juvenile Justice                                                                                                                                      ,2022-02-25
108284,Tale of the Nine Tailed                                                                                                                               ,2020-10-07
119955,Dr. Brain                                                                                                                                             ,2021-11-03
97970,Narco-Saints                                                                                                                                          ,2022-09-09
116386,Doom at Your Service                                                                                                                                  ,2021-05-10
67018,The Legend of the Blue Sea                                                                                                                            ,2016-11-16
61611,Pinocchio                                                                                                                                             ,2014-11-12
133772,The Empire Of Law                                                                                                                                     ,2022-09-24
3215,Coffee Prince                                                                                                                                         ,2007-07-02
66433,Scarlet Heart: Ryeo                                                                                                                                   ,2016-08-29
135340,Happiness                                                                                                                                             ,2021-11-05
3729,High Kick!                                                                                                                                            ,2006-11-06
90447,Hotel Del Luna                                                                                                                                        ,2019-07-12
80737,My ID is Gangnam Beauty                                                                                                                               ,2018-07-27
333,Jewel in the Palace                                                                                                                                   ,2003-09-15
66256,Love in the Moonlight                                                                                                                                 ,2016-08-22
68666,"Father, I'll Take Care of You                                                                                                                         ",2016-11-12
96162,Itaewon Class                                                                                                                                         ,2020-01-31
60956,Doctor Stranger                                                                                                                                       ,2014-05-05
132171,A Model Family                                                                                                                                        ,2022-08-12
68398,Dr. Romantic                                                                                                                                          ,2016-11-07
92983,Vagabond                                                                                                                                              ,2019-09-20
43135,A Gentleman's Dignity                                                                                                                                 ,2012-05-26
72549,Reunited Worlds                                                                                                                                       ,2017-07-19
116041,Love (ft. Marriage and Divorce)                                                                                                                       ,2021-01-23
99047,Record of Youth                                                                                                                                       ,2020-09-07
108291,Snowdrop                                                                                                                                              ,2021-12-18
108261,Mr. Queen                                                                                                                                             ,2020-12-12
136369,Tomorrow                                                                                                                                              ,2022-04-01
39346,City Hunter                                                                                                                                           ,2011-05-25
113240,Run On                                                                                                                                                ,2020-12-16
66496,Hwarang: The Poet Warrior Youth                                                                                                                       ,2016-12-19
70452,The Bride of Habaek                                                                                                                                   ,2017-07-03
134465,Crazy Love                                                                                                                                            ,2022-03-07
128883,Hometown Cha-Cha-Cha                                                                                                                                  ,2021-08-28
96102,Hospital Playlist                                                                                                                                     ,2020-03-12
54477,I Hear Your Voice                                                                                                                                     ,2013-06-05
135897,Our Beloved Summer                                                                                                                                    ,2021-12-06
96160,My Holo Love                                                                                                                                          ,2020-02-07
75123,A Korean Odyssey                                                                                                                                      ,2017-12-23
66272,Uncontrollably Fond                                                                                                                                   ,2016-07-06
212445,The Empire                                                                                                                                            ,2022-09-24
47179,Gu Family Book                                                                                                                                        ,2013-04-08
156248,The Law Cafe                                                                                                                                          ,2022-09-05
37636,Secret Garden                                                                                                                                         ,2010-11-13
64320,Oh My Venus                                                                                                                                           ,2015-11-16
85220,Romance Is a Bonus Book                                                                                                                               ,2019-01-26
84464,My Strange Hero                                                                                                                                       ,2018-12-10
5381,My Lovely Sam-Soon                                                                                                                                    ,2005-06-01
75820,Mr. Sunshine                                                                                                                                          ,2018-07-07
210674,Roommates of Poongduck 304                                                                                                                            ,2022-10-13
85404,Touch Your Heart                                                                                                                                      ,2019-02-06
135652,Military Prosecutor Doberman                                                                                                                          ,2022-02-28
90721,Rookie Historian Goo Hae-Ryung                                                                                                                        ,2019-07-17
79070,Partners for Justice                                                                                                                                  ,2018-05-14
116377,Dear.M                                                                                                                                                ,2022-06-29
99494,Flower of Evil                                                                                                                                        ,2020-07-29
63767,She Was Pretty                                                                                                                                        ,2015-09-16
62511,Who Are You: School 2015                                                                                                                              ,2015-04-27
97219,"Hi Bye, Mama!                                                                                                                                         ",2020-02-22
88974,Angel's Last Mission: Love                                                                                                                            ,2019-05-22
21771,The Great Queen Seondeok                                                                                                                              ,2009-05-25
67084,Cinderella and Four Knights                                                                                                                           ,2016-08-12
93541,The Tale of Nokdu                                                                                                                                     ,2019-09-30
70626,Stranger                                                                                                                                              ,2017-06-10
110545,So Not Worth It                                                                                                                                       ,2021-06-18
209275,May I Help You                                                                                                                                        ,2022-10-19
113268,The Uncanny Counter                                                                                                                                   ,2020-11-28
76557,Welcome to Waikiki                                                                                                                                    ,2018-02-05
78385,Something in the Rain                                                                                                                                 ,2018-03-30
158715,Hope or Dope                                                                                                                                          ,2022-03-25
71349,Suspicious Partner                                                                                                                                    ,2017-05-10
61670,Healer                                                                                                                                                ,2014-12-08
78869,Clean with Passion for Now                                                                                                                            ,2018-11-26
