id,name_actor,birthday,gender
3686810,Kim Hyo Myung                                                                                                                                         ,1988-03-18,2
3226942,Lee Chan-hyung                                                                                                                                        ,1997-11-03,2
1347525,Park Seo-jun                                                                                                                                          ,1988-12-16,2
2318275,Yun Seul                                                                                                                                              ,1992-06-29,1
1042230,Park Ye-eun                                                                                                                                           ,1989-05-26,1
1255878,Lee Jong-hyun                                                                                                                                         ,1990-05-15,2
2042979,Kim Gun-woo                                                                                                                                           ,1992-01-10,2
1572347,Jeon Bae-soo                                                                                                                                          ,1970-06-02,2
3253127,Lee Kyu-hoe                                                                                                                                           ,1970-01-30,2
1539326,Solar                                                                                                                                                 ,1991-02-21,1
150242,Lee Min-jung                                                                                                                                          ,1982-02-16,1
233437,Lee Chun-hee                                                                                                                                          ,1979-02-19,2
2154372,Han Ji-an                                                                                                                                             ,1991-03-17,1
1364528,Lee Ha-nee                                                                                                                                            ,1983-03-02,1
3119646,Rho Sang-bo                                                                                                                                           ,1990-02-23,2
1237912,Lee Yoo-jin                                                                                                                                           ,1977-01-08,1
140335,Kim You-jung                                                                                                                                          ,1999-09-22,1
554024,Lee Kan-hie                                                                                                                                           ,1969-02-03,1
1671014,Son Seung-won                                                                                                                                         ,1990-06-29,2
88876,Ryoo Seung-bum                                                                                                                                        ,1980-08-09,2
17125,Park Jeong-hak                                                                                                                                        ,1964-11-14,2
3288637,Cho Jun-young                                                                                                                                         ,2002-12-26,2
1145025,Hwang Shin-hye                                                                                                                                        ,1963-04-16,1
557133,Lee Da-wit                                                                                                                                            ,1994-03-02,2
2159121,Kim Min-ho                                                                                                                                            ,1990-01-09,2
1827085,Choi Dae-Seong                                                                                                                                        ,1976-02-02,2
2528428,Kim Mi-su                                                                                                                                             ,1992-03-16,1
1257584,Jung Ae-yeun                                                                                                                                          ,1982-11-30,1
1251235,Lee Hong-gi                                                                                                                                           ,1990-03-02,2
1901522,Kim Hyung-min                                                                                                                                         ,1983-09-05,2
105412,Lim Chae-mu                                                                                                                                           ,1949-09-02,2
1654414,Lee Soo-min                                                                                                                                           ,2001-07-01,1
1798499,Oh Seung Ah                                                                                                                                           ,1988-09-13,1
