id,series_id,average_rating,date_rating
1,99966,8.42100,2022-12-08
2,112888,8.52400,2022-12-08
3,93405,7.83500,2022-12-08
4,136699,7.67400,2022-12-08
5,112836,7.88600,2022-12-08
6,67915,8.71100,2022-12-08
7,197067,8.31000,2022-12-08
8,129473,8.12500,2022-12-08
9,154825,8.38800,2022-12-08
10,133091,4.80000,2022-12-08
11,106651,7.51500,2022-12-08
12,208336,7.30000,2022-12-08
13,93490,7.60000,2022-12-08
14,201146,9.30000,2022-12-08
15,155226,8.20000,2022-12-08
16,135157,8.69300,2022-12-08
17,110356,8.31900,2022-12-08
18,16420,8.27400,2022-12-08
19,96777,7.87400,2022-12-08
20,114395,8.49000,2022-12-08
21,96648,8.50900,2022-12-08
22,89641,8.45400,2022-12-08
23,123349,7.45000,2022-12-08
24,94796,8.70000,2022-12-08
25,134675,8.50000,2022-12-08
26,45579,7.98200,2022-12-08
27,65143,8.47500,2022-12-08
28,155229,6.90000,2022-12-08
29,79434,8.43000,2022-12-08
30,96462,8.61300,2022-12-08
31,68349,8.71000,2022-12-08
32,133678,8.03200,2022-12-08
33,156406,9.08000,2022-12-08
34,117376,8.68800,2022-12-08
35,157383,8.80000,2022-12-08
36,154891,7.37500,2022-12-08
37,129888,8.70000,2022-12-08
38,158811,9.00000,2022-12-08
39,201852,8.45500,2022-12-08
40,68814,8.10100,2022-12-08
41,138947,8.30000,2022-12-08
42,70593,8.35500,2022-12-08
43,203697,8.50000,2022-12-08
44,88519,4.50000,2022-12-08
45,194736,8.80000,2022-12-08
46,87527,8.30000,2022-12-08
47,48462,7.83900,2022-12-08
48,74682,8.37100,2022-12-08
49,114118,8.15200,2022-12-08
50,93846,8.50000,2022-12-08
51,157208,8.50000,2022-12-08
52,157161,6.50000,2022-12-08
53,126035,7.54600,2022-12-08
54,18495,4.30000,2022-12-08
55,4734,8.40000,2022-12-08
56,99489,8.64600,2022-12-08
57,60957,8.37400,2022-12-08
58,47007,7.47100,2022-12-08
59,5178,8.10000,2022-12-08
60,61148,7.70000,2022-12-08
